object_id,display_template,title,provenance,binding_description,date,title,location,Publisher,longitude,latitude,subject,local_note,editor,creator,note,call_number,,
buch_470,record,Gedenke Mein! Taschenbuch für das Jahr 1857,,1/4 cloth with brown boards; gilt edges.,1857,Gedenke Mein! Taschenbuch für das Jahr 1857,Wien, Pfautsch & Voss,,,Poetry ; novellas ; essays ; biography of Betty Paoli.,,,"Massow; Köhler, R.; Patuzzi, A.; Steinebach, Fr.; Dräxler-Manfred.",,PT19.G3 v.26,,
buch_471,record,Gedenke Mein! Taschenbuch für das Jahr 1858,,Embossed pink boards with gold tooling; gilt edges; pink slip case. ,1858,Gedenke Mein! Taschenbuch für das Jahr 1858,Wien, Pfautsch & Voss,,,Novellas ; essays ; poetry ; biography of K. E. Ebert.,,,"Massow; Steinebach; Dräxler-Manfred; Klein, Th.; Seidl, J. G.; Patuzzi; Castelli; Kilzer, W.; Köhler, R..",,PT19.G3 v.27,,
buch_472,record,Gedenke Mein! Taschenbuch für das Jahr 1859,,Embossed pink boards with gold tooling; gilt edges; pink slip case. ,1859,Gedenke Mein! Taschenbuch für das Jahr 1859,Wien, Pfautsch & Voss,,,Novellas ; essays ; poetry ; biography of S. H. Mosenthal.,,,"Massow; Wossam, C. v.; Kilzer; Köhler, R.; Raimund, J.; Steinebach, Fr.; Asch, G.; Klein, Th.; Patuzzi, A.; Vogl.",,PT19.G3 v.28,,
buch_473,record,Gendarmerie-Almanach für das Jahr 1854,Former owner's stamp: C. K. 3W.,"Tan cloth (rebound), green wrappers bound in.",1854,Gendarmerie-Almanach für das Jahr 1854,Wien, Carl Gerold & Sohn,,,Calendar ; novellas ; poetry ; songs.,,"Ehrenstein, Friedrich.",Braun von Braunthal; Castelli; Grillparzer; Howitch; Hirsch; Seidl; Vogl; Steinebach; Cerri.,,PT19.G34,,
buch_474,record,Der Gevatterman. Volksbuch für 1847,,1/4 cloth with double marbled paper over boards.,1847,Der Gevatterman. Volksbuch für 1847,Braunschweig, Georg Westermann,,,Humor ; proverbs ; stories ; fables.,,"Auerbach, Berthold.",,,PT19.G4 v.3,,
buch_475,record,Almanach dramatischer Bühnenspiele,Former owner's stamp: Lincke; light annotation in colored pencil and pen.,1/4 calf with spattered brown paper over boards.,1851,Almanach dramatischer Bühnenspiele,Breslau," Grass, Barth & Co.",,,Drama.,,"Görner, C. A.",,,PT19.G55,,
buch_476,record,Göttingischer Taschen-Calender für das Jahr 1803,,"Illustrated olive boards, gilt edges.",1803,Göttingischer Taschen-Calender für das Jahr 1803,Göttingen, Heinrich Dieterich,,,Calendar ; genealogies of monarchs ; measures and weights ; essays.,,,,,PT19.G65,,
buch_477,record,Göttingischer Taschen-Calender für das Jahr 1806,,"Rust boards, gilt edges, in olive slipcase.",1806,Göttingischer Taschen-Calender für das Jahr 1806,Göttingen, Heinrich Dieterich,,,Calendar ; essays ; royal genealogies ; market calendar.,,,,,PT19.G65,,
buch_478,record,Göttingischer Taschen-Calender für das Jahr 1807,,Blue paper over boards; gilt-edged; in block-printed slipcase; gloster marbled interior of binding.,1807,Göttingischer Taschen-Calender für das Jahr 1807,Göttingen, Heinrich Dieterich,,,Calendar ; royal genealogies ; essays ; stories ; market schedules ; letter from B. Franklin.,,,,,PT19.G65 c.1,,
buch_479,record,Göttingischer Taschen-Calender für das Jahr 1807,,Blue paper over boards; gilt edges.,1807,Göttingischer Taschen-Calender für das Jahr 1807,Göttingen, Heinrich Dieterich,,,Calendar ; royal genealogies ; essays ; stories ; market schedules ; letter from B. Franklin.,,,,,PT19.G65 c.2,,
buch_480,record,Göttingischer Taschen-Kalender für das Schalt-Jahr 1808,,Navy blue paper over boards; gilt-edged; in block-printed slipcase; gloster marbled interior of binding.,1808,Göttingischer Taschen-Kalender für das Schalt-Jahr 1808,Göttingen, Heinrich Dieterich,,,Calender ; Market schedule ; essays ; stories.,,,,,PT19.G65,,
buch_481,record,Göttingischer Taschen-Calender für das Jahr 1810,,Green paper over boards; gilt edges; gloster marbled slip case.,1810,Göttingischer Taschen-Calender für das Jahr 1810,Göttingen, Heinrich Dieterich,,,Calendar ; royal genealogies ; fashion ; market schedule.,,,,,PT19.G65,,
buch_482,record,Grossherzoglich Hessischer Hofkalender für das Jahr 1813,,Green paper over boards; gilt edges. ,1813,Grossherzoglich Hessischer Hofkalender für das Jahr 1813,Darmstadt, Heyer & Leske,,,Calendar ; royal genealogies ; essays ; stories ; novellas.,,,"Reinbeck; Laun; Schütze, St.; Kind, Fr..",,PT19.G86,,
buch_483,record,Grossherzoglich Hessischer Hofkalender für das Jahr 1814,,Decorated orange paper over boards; gilt edges.,1814,Grossherzoglich Hessischer Hofkalender für das Jahr 1814,Darmstadt, Heyer & Leske,,,Calender ; royal genealogies ; historical essays ; novellas stories.,,,"Justi, K. W.; De La Motte Fouque; Rau, L.; Kind, Fr.; Reinbeck.",,PT19.G86,,
buch_484,record,Taschenbuch für Freunde des Scherzes und der Satire.,,"Rebound, 3/4 leather, imitation morocco boards; blue marbled edges.",1798,Taschenbuch für Freunde des Scherzes und der Satire.,Leipzig, Sommersche Buchandlung,,,Calendar ; essays ; decalog ; travels of Scaramuz.,,"Falk, J. D.",,,PT19.G88 ,,
buch_485,record,Taschenbuch für Freunde des Scherzes und der Satire.,,Extra marbled green paper over boards; yellow edges; red spine label.,1800,Taschenbuch für Freunde des Scherzes und der Satire.,Leipzig, Sommersche Buchandlung,,,Essays ; poetry ; stories.,,"Falk, J. D.",,,PT19.G88,,
buch_486,record,Taschenbuch für Freunde des Scherzes und der Satire.,,Rebound. Brown cloth boards. Old red wrappers bound in.,1803,Taschenbuch für Freunde des Scherzes und der Satire.,Weimar, Landes-Industrie Comptoirs,,,Novellas ; essays ; stories.,,"Falk, J. D.",,,PT19.G88,,
buch_487,record,"Grotesken, Satyren, und Naivitäten auf das Jahr 1806",,"Rebound, blue cloth boards.",1806,"Grotesken, Satyren, und Naivitäten auf das Jahr 1806",Tübingen, J. G. Cotta'sche Buchhandlung,,,Satirical ; grotesque ; humorous stories.,,"Falk, J. D.",,,PT19.G882,,
buch_488,record,Guirlanden.,,1/4 brown cloth with romantic marbled brown wrappers over boards.,1812,Guirlanden.,Leipzig, Johann Friedrich Gleditsch,,,Poetry ; novellas ; essays ; puzzles.,,"Becker, W. G.","Becker; Haug; Langbein; Streckfuss; Schütze; Kind, F.; Schmidt von Lübeck; Krug von Nidda; Prätzel, K. G.; von Nordstern, A.",,PT19.G94 v.1-2,,
buch_489,record,Guirlanden.,,1/4 brown cloth with romantic marbled brown wrappers over boards.,1813,Guirlanden.,Leipzig, Johann Friedrich Gleditsch,,,Poetry ; novellas ; essays ; stories ; puzzles.,,"Becker, W. G.","Kinda, F.; Langbein; Schütze, St.; Prätzel, K. G.; Brachmann, Louise; Schmidt von Lübeck; Haug; Becker, W. G.; Streckfuss, Carl.",,PT19.G94 v.3-4,,
buch_490,record,Die Harfe,,1/2 calf with black paper over boards; red spine label.,1815,Die Harfe,Leipzig, Georg Joachim Göschen,,,Poetry ; drama ; novellas ; essays.,,"Kind, Friedrich.","Kind, F.; Fouque, F.; Prätzel, K. G.; Reinhard; Messerschmid;  Krug von Nidda; Schütze, St.; Haug; Heil, Th.",,PT19.H3 v.1,,
buch_491,record,Die Harfe,"Former owner's inscription: [letter on fold out paper in the middle, mostly illegible].",1/2 calf with black paper over boards; red spine label.,1815,Die Harfe,Leipzig, Georg Joachim Göschen,,,Poetry ; novellas ; essays ; stories.,,"Kind, Friedrich.","Comala; Gramberg; Hell, Th.; Brachmann, Louise; Fouque; Kind, F.; Kuhn, Fr.; Krug von Nidda; Herder; Mendelsohn.",,PT19.H3 v.2,,
buch_492,record,Die Harfe,,1/2 calf with black paper over boards; red spine label.,1816,Die Harfe,Leipzig, Georg Joachim Göschen,,,Poetry ; novellas ; essays ; stories.,,"Kind, Friedrich.","Brachmann, Louise; Freiherr von Münchhausen; Laun, F.; Krug von Nidda; Heil, T.; Streckfuss; Schütze, St.; Justi, K. M.; Gramberg, C. A. H.; Haug.",,PT19.H3 v.3,,
buch_493,record,Die Harfe,,1/2 calf with black paper over boards; red spine label.,1816,Die Harfe,Leipzig, Georg Joachim Göschen,,,Poetry ; novellas ; essays ; stories.,,"Kind, Friedrich.",,,PT19.H3 v.4,,
buch_494,record,Die Harfe,"Former owner's inscription: [letter on fold out paper in the middle, mostly illegible].",1/2 calf with black paper over boards; red spine label.,1816,Die Harfe,Leipzig, Georg Joachim Göschen,,,Poetry ; novellas ; essays ; stories.,,"Kind, Friedrich.","Kind, Fr.; Laun, F.; Hell; Haug; Langbein; Krug von Nidda; Nordstern; Brachman; von Münchhausen; Kuhn, F.",,PT19.H3 v.5,,
buch_495,record,Die Harfe,,1/2 calf with black paper over boards; red spine label.,1817,Die Harfe,Leipzig, Georg Joachim Göschen,,,Poetry ; novellas ; essays ; stories.,,"Kind, Friedrich.","Krug von Nidda; Kuhn, Fr.; Nordstern; Kind, F.; Naubert, Ben; Brachmann, Louise; Koch, Aug.; Hell, Th.; Prätzel, K. G..",,PT19.H3 v.6,,
buch_496,record,Die Harfe,,1/2 calf with black paper over boards; red spine label.,1818,Die Harfe,Leipzig, Georg Joachim Göschen,,,Poetry ; novellas ; essays ; stories.,,"Kind, Friedrich.","Justi, K. W.; Brachman, Louise; Kuhn, F.; Hell, Th.; Schütze; Nordstern; Kind, F.; Haug; Castelli; Lehman, Friederike.",,PT19.H3 v.7,,
buch_497,record,Die Harfe,,1/2 calf with black paper over boards; red spine label.,1819,Die Harfe,Leipzig, Georg Joachim Göschen,,,Poetry ; novellas ; essays ; stories.,,"Kind, Friedrich.","Naubert, B.; Haug; Nordstern; Langbein; Förster, Karl; Brachmann, L.; Kuhn, F.; Kind F.; Kind, F.; Hell, Th..",,PT19.H3 v.8,,
buch_498,record,Helena. Ein Taschenbuch.,,Green cloth over boards; gilt edges. Rebound.,1837,Helena. Ein Taschenbuch.,Bunzlau, Appun's Buchhandlung,,,Novellas ; essays.,,"Schefer, L.","Tieck, Ludiwg; Wachsmann, E.; Storch, Ludiwg; Schefer, L.",,PT19.H45 v.1,,
buch_499,record,Helena. Ein Taschenbuch.,,Green paper over boards; gilt edges. ,1838,Helena. Ein Taschenbuch.,Bunzlau, Appun's Buchhandlung,,,Novellas.,,"Schefer, L.","Schefer, L.; Hanke, Henrietta; Scävola, E.",,PT19.H45 v.2,,
buch_500,record,Helena. Ein Taschenbuch.,,Pink paper over boards; gilt edges. ,1839,Helena. Ein Taschenbuch.,Bunzlau, Appun's Buchhandlung,,,Novellas.,Image captions in English.,"Schefer, L.","Tieck, L.; Schefer, L.; von Gusek; Storch, L.",,PT19.H45 v.3,,
buch_501,record,Helena. Ein Taschenbuch.,Former owner's bookplate: Speyer & Peters: Buchhandlung / Antiquariat: Berlin NW. 7 Unten den Linden 39.,1/2 calf with spattered blue paste paper over boards; red edges.,1840,Helena. Ein Taschenbuch.,Bunzlau, Appun's Buchhandlung,,,Novellas.,,"Schefer, L.","Scävola, Emerentius; Rein, Ludwig; von Gusek.",,PT19.H45 v.4,,
buch_502,record,Helvetischer Almanach. Für das Jahr 1817,,Illustrated olive paper over boards.,1817,Helvetischer Almanach. Für das Jahr 1817,Zürich, Orell Füssli & Co.,,,Calendar ; topography and statistics for canton Geneva ; description of canton Geneva ; poetry.,Nice fold out engravings and large folio-size color map folded in back.,,,,PT19.H48 v.1,,
buch_503,record,Helvetischer Almanach. Für das Jahr 1818,,Black paste paper over boards; red edges.,1818,Helvetischer Almanach. Für das Jahr 1818,Zürich, Orell Füssli & Co.,,,Calendar ; topographic and statistical description of canton Neuenburg und Vallangin.,,,,,PT19.H48 v.2,,
buch_504,record,Helvetischer Almanach. Für das Jahr 1819,,Illustrated olive paper over boards.,1819,Helvetischer Almanach. Für das Jahr 1819,Zürich, Orell Füssli & Co.,,,Calendar ; topographic and statistical description of canton of Bern.,Nice fold out engravings and large folio-size color map folded in back.,,,,PT19.H48 v.3,,
buch_505,record,Helvetischer Almanach. Für das Jahr 1820,,Marbled black boards; partially rebound.,1820,Helvetischer Almanach. Für das Jahr 1820,Zürich, Orell Füssli & Co.,,,Statistical ; historical ; biographical description of canton of Wallis.,,,,,PT19.H48 v.4,,
buch_506,record,Herbstgabe. Taschenbuch auf das Jahr 1840,Fomer owner's stamp: Lincke. ,1/4 calf with spattered brown paper over boards; red edges.,1840,Herbstgabe. Taschenbuch auf das Jahr 1840,Meissen," Gödsche, F. W.",,,Novellas.,,"Leonhardt-Lyser, C.",,,PT19.H51 v.2,,
buch_507,record,Herbstgabe. Taschenbuch auf das Jahr 1841,Fomer owner's stamp: Lincke; former owner's inscription: [illegible]. ,1/4 calf with spattered brown paper over boards; red edges.,1841,Herbstgabe. Taschenbuch auf das Jahr 1841,Meissen," Gödsche, F. W.",,,2 Novellas ; 1 essay.,,"Leonhardt-Lyser, C.",,,PT19.H51 v.3,,
buch_508,record,Georgiana. Taschenbuch für 1848,,Black marbled paper over boards; black spattered edges. Rebound with black cloth.,1848,Georgiana. Taschenbuch für 1848,Altenburg, Julius Helbig,,,Poetry ; essays ; stories.,,"Hesekiel, Georg.",,,PT19.H55,,
buch_509,record,Hessisches Jahrbuch für 1854 & 1855,,1/2 red cloth with marbled cream paper over boards; blue spattered edges.,1855,Hessisches Jahrbuch für 1854 & 1855,Cassel, Oswald Bertram,,,Poetry ; novellas ; essays ; ballads.,,,"Bernhadi, K.; von Hohenhausen; Lyncker, K.; Mittler, L.; Schmitt, K.; Grimm, H.; König, H.; Landau, G.; Plönnies, L. V.; Rodenburg, J. V.",,PT19.H564,,
buch_510,record,Der Hinkende Bote,,Paper wrappers.,1802,Der Hinkende Bote,Offenbach and Frankfurt a.M., Heinrich Gottlieb Hauch,,,Calendar ; market schedule ; historical stories ; medical information ; description of 1801 peace of Luneville between the Russian emperor and First Consul Bonaparte.,,,,,PT19.H6,,
buch_511,record,Der Hinkende Bote,,Paper wrappers.,1807,Der Hinkende Bote,Frankfurt a.M., Jägersche Buchhandlung,,,Calendar ; market schedule ; astronomical and other useful information.,,"Wohlgemuth, Friedrich",,,PT19.H6,,
buch_512,record,Der Hinkende Bote,,Paper wrappers.,1808,Der Hinkende Bote,Frankfurt a.M., Jägersche Buchhandlung,,,"Calendar ; market schedule ; 1 story ; astronomical and other useful information ; description of the new ""Boswell'sche Talglampe"".",,"Wohlgemuth, Friedrich",,,PT19.H6,,
buch_513,record,Der Hinkende Bote,,Paper wrappers.,1816,Der Hinkende Bote,Frankfurt a.M., Jägersche Buchhandlung,,,Calendar ; schedule of markets ; stories ; useful information.,,"Wohlgemuth, Friedrich",,,PT19.H6,,
buch_514,record,Der Hinkende Bote,,Paper wrappers.,1831,Der Hinkende Bote,Offenbach and Frankfurt a.M., Jägersche Buchhandlung,,,Calendar ; market schedule ; astronomy ; novella.,,,,,PT19.H6,,
buch_515,record,Der Hinkende Bote,,Paper wrappers.,1832,Der Hinkende Bote,Offenbach and Frankfurt a.M., Jägersche Buchhandlung,,,Calendar ; market schedule ; mail deliveries ; sun dial ; stories ; report of third division of Poland between Russia & Prussia.,,,,,PT19.H6,,
buch_516,record,Der Hinkende Bote,,Paper wrappers.,1835,Der Hinkende Bote,Offenbach and Frankfurt a.M., Jägersche Buchhandlung,,,Calendar ; stories ; recipes ; astronomical ; transportation information.,,,,,PT19.H6,,
buch_517,record,Der Hinkende Bote,,Paper wrappers.,1839,Der Hinkende Bote,Offenbach and Frankfurt a.M., Jägersche Buchhandlung,,,Calendar ; market schedule ; currencies ; mail deliveries ; astronomical and domestic information and advice ; stories ; detailed history of St. Peter's Cathedral.,,,,,PT19.H6,,
buch_518,record,Der Hinkende Bote,,Paper wrappers.,1840,Der Hinkende Bote,Offenbach and Frankfurt a.M., Jägersche Buchhandlung,,,Calendar ; schedule of markets ; useful agricultural and domestic information ; stories.,,,,,PT19.H6,,
buch_519,record,Der Hinkende Bote,,Paper wrappers.,1843,Der Hinkende Bote,Offenbach and Frankfurt a.M., Jägersche Buchhandlung,,,Calendar ; market schedule ; railroads ; gardening ; domestic ; horticulture ; short stories.,,,,,PT19.H6,,
buch_520,record,Der Hinkende Bote,,Paper wrappers.,1845,Der Hinkende Bote,Offenbach and Frankfurt a.M., Jägersche Buchhandlung,,,Calendar ; market  ; mail ; and railroad schedules ; stories ; domestic ; gardening ; agricultural information.,,,,,PT19.H6,,
buch_521,record,Der Hinkende Bote,,Paper wrappers.,1846,Der Hinkende Bote,Offenbach and Frankfurt a.M., Jägersche Buchhandlung,,,Calendar ; market ; railroad ; and mail schedules ; useful domestic and garden information.,,,,,PT19.H6,,
buch_522,record,Der Hinkende Bote,,Paper wrappers.,1847,Der Hinkende Bote,Offenbach and Frankfurt a.M., Jägersche Buchhandlung,,,Calendar ; schedule of markets ; railroads ; mail ; stories ; garden and domestic information.,,,,,PT19.H6,,
buch_523,record,Der Hinkende Bote,,Paper wrappers.,1848,Der Hinkende Bote,Offenbach and Frankfurt a.M., Jägersche Buchhandlung,,,Schedules of Railroads ; markets ; and mail ; calendar ; gardening and domestic information ; -recipes ; stories.,,,,,PT19.H6,,
buch_524,record,Der Hinkende Bote,,Paper wrappers.,1849,Der Hinkende Bote,Offenbach and Frankfurt a.M., Jägersche Buchhandlung,,,Calendar ; schedule of markets ; railroads ; and mail ; reports on events in major German cities during 1848 revolution.,,,,,PT19.H6,,
buch_525,record,Der Hinkende Bote,,Paper wrappers.,1850,Der Hinkende Bote,Offenbach and Frankfurt a.M., Jägersche Buchhandlung,,,Calendar ; proverbs ; games ; schedule of markets ; mail ; ships ; and railroads ; short stories.,,,,,PT19.H6,,
buch_526,record,Der Hinkende Bote,,Paper wrappers.,1851,Der Hinkende Bote,Offenbach and Frankfurt a.M., Jägersche Buchhandlung,,,Calendar ; proverbs ; short stories ; schedules of markets ; ships ; mail ; railroad. Useful informatioij for gardening ; recipes ; domestic arts.,,,,,PT19.H6,,
buch_527,record,Der Hinkende Bote,,Paper wrappers.,1853,Der Hinkende Bote,Offenbach and Frankfurt a.M., Jägersche Buchhandlung,,,Calendar ; proverbs ; schedule of markets ; mail ; ships ; railroad ; historical reminiscences 1793-1810.,,,,,PT19.H6,,
buch_528,record,Der Hinkende Bote,,Paper wrappers.,1856,Der Hinkende Bote,Offenbach and Frankfurt a.M., Jägersche Buchhandlung,,,Calendar ; proverbs ; science ; short stories ; jokes ; schedule of ships ; railroad ; mail ; markets.,,,,,PT19.H6,,
buch_529,record,Der Hinkende Bote,,Paper wrappers.,1857,Der Hinkende Bote,Offenbach and Frankfurt a.M., Jägersche Buchhandlung,,,Calendar ; proverbs ; short stories ; schedule of mail ; ships ; railroad ; markets.,,,,,PT19.H6,,
buch_530,record,Der Hinkende Bote,,Paper wrappers.,1859,Der Hinkende Bote,Offenbach and Frankfurt a.M., Jägersche Buchhandlung,,,Calendar ; proverbs ; science ; garden and farm information ; short stories ; schedules of mail ; ships ; railroad ; and markets.,,,,,PT19.H6,,
buch_531,record,Der Hinkende Bote,,Paper wrappers.,1860,Der Hinkende Bote,Darmstadt and Frankfurt a.M., Jägersche Buchhandlung,,,Calendar ; proverbs ; short stories ; schedule of markets and fairs.,,,,,PT19.H6,,
buch_532,record,Der Hinkende Bote,,Paper wrappers.,1862,Der Hinkende Bote,Darmstadt and Frankfurt a.M., Jägersche Buchhandlung,,,Proverbs ; calendar ; schedule of markets and fairs ; gardening and kitchen information ; short stories.,,,,,PT19.H6,,
buch_533,record,Der Hinkende Bote,,Italian marbled wrappers.,1793,Der Hinkende Bote,Offenbach and Frankfurt a.M., Heinrich Gottlieb Hauch,,,Calendar ; market schedule ; historical stories.,,"Wohlgemuth, Friedrich",,,PT19.H6,,
buch_534,record,Historisch-Genealogischer Kalender,,Printed olive boards; gilt edges.,1794,Historisch-Genealogischer Kalender,Berlin, Hallische Waisenhaus Buchhandlung,,,Calendar ; history of Brandenburg-Prussia ; royal genealogies ; mail schedule.,,,,,PT19.H64,,
buch_535,record,Historisch-Genealogischer Kalender,Former owner's stamp: [Lutz]; former owner's inscription: [illegible].,"Rebound. Red cloth boards, gilt-edged.",1818,Historisch-Genealogischer Kalender,Berlin, Kön. Preuss Kalender Deputation,,,Calendar ; history of Brazil with engravings ; schedule of mail deliveries ; royal genealogies.,,,,Problematic Imagery. Also interesting for exploring conceptions of the non-White world.,PT19.H64,,
buch_536,record,Historisch-Genealogischer Kalender,,"Rebound. Red cloth boards, gilt-edged.",1819,Historisch-Genealogischer Kalender,Berlin, Kön. Preuss Kalender Deputation,,,Calendar ; history of Prussian Rhineland ; schedule of mail deliveries ; royal genealogies.,,,,,PT19.H64,,
buch_537,record,Historisch-Genealogischer Kalender,,Printed green boards; gilt edges; placard marbled inside covers.,1795,Historisch-Genealogischer Kalender,Braunschweig, Schulbuchhandlung,,,Calendar ; royal genealogies ; historical stories of Ludwig the German and his families.,,"Schlenkert, F. C.",,,PT19.H645,,
buch_538,record,Historisch-Genealogischer Kalender,Former owner's stamp: 1796.,Red cloth; gilt edges. Rebound.,1796,Historisch-Genealogischer Kalender,Braunschweig, Schulbuchhandlung,,,Calendar ; royal genealogies ; German history from Otto the Great to Rudolf von Habsburg 973-1293.,,,,,PT19.H645,,
buch_539,record,Historisch-Mahlerisches Taschenbuch von und für Oesterreich,,Decorated blue boards; gilt edges,1804,Historisch-Mahlerisches Taschenbuch von und für Oesterreich,Wien, J. V. Degen,,,Calendar ; detailed history of Habsburg Empire and its rulers.,,,,,PT19.H65,,
